"","Item","NotOverweight","OverweightObese","factor"
"1","10th grade or less",450,970,"Education"
"2","11th or 12th grade, no diploma",352,534,"Education"
"3","H.S. diploma, GED or equivalent",1026,2083,"Education"
"4","Some college or associate’s degree",957,1816,"Education"
"5","Bachelor’s degree",511,718,"Education"
"6","Master's degree and above",297,277,"Education"
"7","White",3650,5183,"Race"
"8","Black",688,1290,"Race"
"9","American Indian or Alaska Native",40,100,"Race"
"10","Asian or Native Hawaiian or Other Pacific Islander",349,202,"Race"
"11","Other race",483,834,"Race"
"12","Multiple race",145,160,"Race"
"13","Male",2362,3841,"Sex"
"14","Female",2996,3940,"Sex"
"15","5",138,111,"Age"
"16","6.5",229,192,"Age"
"17","9.5",491,378,"Age"
"18","13.5",581,287,"Age"
"19","16.5",290,164,"Age"
"20","18",126,75,"Age"
"21","19",121,82,"Age"
"22","27.5",1415,1939,"Age"
"23","47.5",1090,2851,"Age"
"24","62.5",201,528,"Age"
"25","68",118,316,"Age"
"26","85",239,458,"Age"
"27","Married",1275,2960,"Marital"
"28","Widowed",189,330,"Marital"
"29","Divorced",372,930,"Marital"
"30","Separated",110,235,"Marital"
"31","Never married",1659,1960,"Marital"
"32","Working at a job or business",1772,3201,"Employment"
"33","With a job or business but not at work",81,117,"Employment"
"34","Looking for work",277,530,"Employment"
"35","Worked but looking for a job",19,39,"Employment"
"36","Not working at a job or business",1458,2532,"Employment"
"37","0",1926,2731,"Ndinnerout"
"38","1",1497,2287,"Ndinnerout"
"39","2",910,1313,"Ndinnerout"
"40","3",504,724,"Ndinnerout"
"41","4",208,320,"Ndinnerout"
"42","5",171,226,"Ndinnerout"
"43","6",44,54,"Ndinnerout"
"44","7",62,97,"Ndinnerout"
"45","Not vegetarian",5175,7641,"Vegetarian"
"46","Vegetarian",183,140,"Vegetarian"
"47","No food allergy",4984,7255,"Foodallergy"
"48","Food Allergy",369,519,"Foodallergy"
"49","Lactose tolerant",4970,7079,"Lactoseintol"
"50","Lactose intolerant",382,690,"Lactoseintol"
"51","Not on diet",4938,6405,"Dieting"
"52","On diet",420,1376,"Dieting"
